#Firmware: Tuareg V0.2 2020.10
event,fraction,Timestamp,time
Id,us,ms,ms
5.0,714.0,165174.0,165174.72
4.0,705.0,165175.0,165175.7
3.0,827.0,165185.0,165185.83
2.0,768.0,165190.0,165190.77
1.0,946.0,165196.0,165196.95
0.0,934.0,165197.0,165197.94
7.0,58.0,165208.0,165208.06
6.0,45.0,165209.0,165209.05
5.0,170.0,165219.0,165219.17
4.0,162.0,165220.0,165220.16
3.0,283.0,165230.0,165230.28
2.0,224.0,165235.0,165235.22
1.0,402.0,165241.0,165241.4
0.0,390.0,165242.0,165242.39
7.0,514.0,165252.0,165252.52
6.0,501.0,165253.0,165253.5
5.0,625.0,165263.0,165263.62
4.0,616.0,165264.0,165264.61
3.0,738.0,165274.0,165274.73
2.0,679.0,165279.0,165279.67
1.0,857.0,165285.0,165285.86
0.0,845.0,165286.0,165286.84
7.0,969.0,165296.0,165296.97
6.0,956.0,165297.0,165297.95
MARK 016
0.0,823.0,168309.0,168309.83
7.0,947.0,168319.0,168319.95
6.0,933.0,168320.0,168320.94
5.0,58.0,168331.0,168331.06
4.0,51.0,168332.0,168332.05
3.0,172.0,168342.0,168342.17
2.0,112.0,168347.0,168347.11
1.0,291.0,168353.0,168353.3
0.0,279.0,168354.0,168354.28
7.0,403.0,168364.0,168364.4
6.0,389.0,168365.0,168365.39
5.0,513.0,168375.0,168375.52
4.0,505.0,168376.0,168376.5
3.0,627.0,168386.0,168386.62
2.0,567.0,168391.0,168391.56
1.0,746.0,168397.0,168397.75
0.0,734.0,168398.0,168398.73
7.0,858.0,168408.0,168408.86
6.0,844.0,168409.0,168409.84
5.0,969.0,168419.0,168419.97
4.0,962.0,168420.0,168420.97
3.0,83.0,168431.0,168431.08
2.0,23.0,168436.0,168436.02
1.0,202.0,168442.0,168442.2
0.0,190.0,168443.0,168443.19
7.0,314.0,168453.0,168453.31
6.0,300.0,168454.0,168454.3
5.0,424.0,168464.0,168464.42
4.0,416.0,168465.0,168465.42
3.0,538.0,168475.0,168475.53
MARK 017
6.0,278.0,171477.0,171477.28
5.0,402.0,171487.0,171487.4
4.0,394.0,171488.0,171488.39
3.0,516.0,171498.0,171498.52
2.0,456.0,171503.0,171503.45
1.0,635.0,171509.0,171509.64
0.0,623.0,171510.0,171510.62
7.0,746.0,171520.0,171520.75
6.0,733.0,171521.0,171521.73
5.0,858.0,171531.0,171531.86
4.0,851.0,171532.0,171532.84
3.0,972.0,171542.0,171542.97
2.0,912.0,171547.0,171547.9
1.0,91.0,171554.0,171554.1
0.0,79.0,171555.0,171555.08
7.0,202.0,171565.0,171565.2
6.0,189.0,171566.0,171566.19
5.0,313.0,171576.0,171576.31
4.0,305.0,171577.0,171577.31
3.0,427.0,171587.0,171587.42
2.0,367.0,171592.0,171592.36
1.0,546.0,171598.0,171598.55
0.0,534.0,171599.0,171599.53
7.0,658.0,171609.0,171609.66
6.0,644.0,171610.0,171610.64
5.0,769.0,171620.0,171620.77
4.0,762.0,171621.0,171621.77
3.0,883.0,171631.0,171631.89
2.0,823.0,171636.0,171636.83
1.0,2.0,171642.0,171642.0
MARK 018
3.0,860.0,174654.0,174654.86
2.0,801.0,174659.0,174659.8
1.0,979.0,174665.0,174665.98
0.0,967.0,174666.0,174666.97
7.0,91.0,174677.0,174677.1
6.0,78.0,174678.0,174678.08
5.0,202.0,174688.0,174688.2
4.0,193.0,174689.0,174689.19
3.0,315.0,174699.0,174699.31
2.0,256.0,174704.0,174704.25
1.0,434.0,174710.0,174710.44
0.0,422.0,174711.0,174711.42
7.0,546.0,174721.0,174721.55
6.0,533.0,174722.0,174722.53
5.0,658.0,174732.0,174732.66
4.0,651.0,174733.0,174733.66
3.0,771.0,174743.0,174743.77
